cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
15019831000182,2012-06-28,2020-05-07,1973,76.11322020948083,101.39082668546413
15176513000125,2012-07-24,2020-05-07,1946,107.58465176031868,100.27085719084229
15283719000154,2012-04-04,2016-03-11,990,46.40230987491507,46.94538859509516
14508605000100,2012-08-17,2020-05-07,1937,127.15237280615854,99.19653093624368
14508521000169,2012-04-23,2018-10-29,1638,81.19833007206181,88.3774231907396
14759045000159,2011-12-29,2020-05-07,2098,58.92145551456656,110.67568756106394
15029147000181,2019-05-14,2020-05-07,249,1.007947799882225,5.030132408923338
15102066000160,2012-04-03,2018-12-26,1689,9.11037441296816,91.07588372585052
15078060000102,2012-04-12,2020-05-07,2026,30.96522177066654,104.94152529370133
15175708000150,2013-06-19,2020-05-07,1730,84.9207334773812,88.19643876281656
